                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.67776,                0.48568,                 1.0669,                0.93632,                0.95208,                0.98026,                0.82973,                0.58755,                0.35553,                0.93589,               0.001109,               0.001109,               0.001109
                     47,                0.67161,                0.47824,                 1.0665,                0.93583,                0.95373,                0.97977,                0.82984,                0.59464,                0.34918,                0.93069,              0.0010892,              0.0010892,              0.0010892
                     48,                0.66292,                0.47831,                   1.06,                0.94582,                0.94429,                0.97951,                 0.8283,                0.59461,                0.35297,                0.93435,              0.0010694,              0.0010694,              0.0010694
                     49,                0.66547,                0.47385,                 1.0619,                0.93464,                0.95588,                0.97934,                0.83103,                 0.5914,                 0.3499,                0.93885,              0.0010496,              0.0010496,              0.0010496
                     50,                0.66365,                 0.4733,                 1.0637,                0.94238,                0.95052,                0.97963,                0.82464,                0.60202,                0.35339,                0.93849,              0.0010298,              0.0010298,              0.0010298
                     51,                0.65992,                 0.4727,                  1.063,                0.94275,                0.94827,                0.97979,                0.82863,                0.59257,                0.34589,                0.93103,                0.00101,                0.00101,                0.00101
                     52,                0.66083,                0.46843,                 1.0597,                0.94148,                0.95277,                0.98035,                0.83338,                0.58638,                0.34167,                0.93236,              0.0009902,              0.0009902,              0.0009902
                     53,                0.65546,                0.46605,                 1.0574,                 0.9343,                 0.9564,                0.97918,                0.83035,                0.58744,                0.34207,                0.93609,              0.0009704,              0.0009704,              0.0009704
                     54,                0.65509,                0.46242,                 1.0583,                 0.9431,                0.94983,                 0.9802,                0.83345,                 0.5865,                0.34254,                0.92977,              0.0009506,              0.0009506,              0.0009506
                     55,                0.64364,                0.46156,                  1.054,                0.94327,                0.95138,                0.98039,                 0.8346,                 0.5909,                 0.3354,                0.93898,              0.0009308,              0.0009308,              0.0009308
                     56,                0.65416,                0.46239,                 1.0613,                 0.9444,                0.95211,                0.98144,                0.83277,                0.58675,                0.34158,                0.93447,               0.000911,               0.000911,               0.000911
                     57,                0.64001,                0.45624,                   1.05,                0.94349,                0.94948,                0.97922,                 0.8262,                0.58826,                0.34875,                0.93292,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.6417,                0.45523,                  1.052,                0.94558,                0.95001,                 0.9808,                0.83521,                0.58597,                0.33725,                0.93817,              0.0008714,              0.0008714,              0.0008714
                     59,                0.63775,                0.44918,                 1.0523,                0.94136,                0.95208,                0.98143,                0.83165,                0.58405,                0.33606,                0.94336,              0.0008516,              0.0008516,              0.0008516
                     60,                0.64456,                0.45326,                 1.0526,                0.94045,                0.95361,                0.98104,                0.83739,                0.58389,                 0.3335,                0.93724,              0.0008318,              0.0008318,              0.0008318
                     61,                0.63844,                0.44892,                 1.0503,                0.94739,                0.95028,                0.98075,                0.83966,                 0.5782,                0.32839,                0.93439,               0.000812,               0.000812,               0.000812
