                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.67156,                0.45151,                 1.0669,                0.94662,                0.95238,                 0.9805,                 0.8313,                0.60593,                0.33032,                0.94421,               0.003763,               0.003763,               0.003763
                     65,                0.67254,                 0.4486,                 1.0697,                0.95063,                0.94875,                0.98141,                0.83288,                0.60186,                 0.3292,                0.93741,               0.003664,               0.003664,               0.003664
                     66,                0.66758,                0.44591,                 1.0659,                0.94873,                0.95369,                0.98162,                0.83249,                0.60357,                0.32624,                0.94384,               0.003565,               0.003565,               0.003565
                     67,                0.66716,                0.45119,                 1.0687,                0.95001,                0.94801,                 0.9812,                 0.8328,                0.60329,                0.32722,                 0.9468,               0.003466,               0.003466,               0.003466
                     68,                0.66243,                0.44472,                 1.0637,                 0.9491,                0.95255,                0.98181,                0.83366,                0.60158,                0.32809,                 0.9428,               0.003367,               0.003367,               0.003367
                     69,                0.66528,                0.44531,                 1.0663,                0.94895,                0.95236,                0.98174,                0.83304,                0.60377,                0.32678,                0.94823,               0.003268,               0.003268,               0.003268
                     70,                0.65795,                0.44155,                 1.0645,                0.94917,                0.95449,                0.98168,                0.83147,                 0.6062,                0.32463,                0.95034,               0.003169,               0.003169,               0.003169
                     71,                0.65711,                0.43845,                 1.0621,                0.95122,                0.95223,                0.98207,                0.83078,                0.60306,                0.32543,                0.94261,                0.00307,                0.00307,                0.00307
                     72,                0.65326,                0.43958,                  1.062,                0.94783,                0.95208,                0.98096,                 0.8296,                0.60234,                0.32636,                0.94225,               0.002971,               0.002971,               0.002971
                     73,                0.65609,                0.43524,                 1.0595,                 0.9524,                0.94984,                0.98076,                0.83025,                0.60104,                0.32593,                0.94629,               0.002872,               0.002872,               0.002872
                     74,                0.64897,                0.43156,                 1.0542,                 0.9528,                0.94952,                0.98187,                 0.8325,                 0.6047,                0.32376,                0.94427,               0.002773,               0.002773,               0.002773
                     75,                0.65371,                0.43583,                  1.061,                0.94712,                0.95193,                 0.9807,                0.83305,                0.60213,                0.32584,                0.94462,               0.002674,               0.002674,               0.002674
                     76,                0.64325,                 0.4274,                 1.0532,                0.94965,                0.95118,                0.98164,                 0.8326,                0.60093,                0.32366,                0.94749,               0.002575,               0.002575,               0.002575
                     77,                0.64644,                0.43026,                 1.0589,                0.94809,                0.95235,                0.98195,                0.83302,                0.60022,                0.32576,                0.94662,               0.002476,               0.002476,               0.002476
                     78,                0.64548,                0.42773,                  1.052,                0.95005,                0.95159,                0.98164,                0.83048,                0.60116,                0.32449,                0.94244,               0.002377,               0.002377,               0.002377
                     79,                0.64416,                0.42624,                 1.0575,                0.94848,                0.95151,                 0.9817,                0.83466,                0.59851,                 0.3214,                0.94284,               0.002278,               0.002278,               0.002278
                     80,                 0.6414,                0.42528,                 1.0529,                0.94657,                0.95307,                0.98144,                0.83334,                0.59975,                0.32397,                0.94393,               0.002179,               0.002179,               0.002179
                     81,                 0.6361,                0.42141,                 1.0492,                 0.9507,                0.95087,                0.98189,                0.83458,                0.59904,                0.32238,                0.94351,                0.00208,                0.00208,                0.00208
